,Code 1,Crew 1_name,Code2,Crew 2_name,Tie strength
0,30033839,"August, John (I)",30083861,"Bonham Carter, Helena",3
1,30033839,"August, John (I)",30114716,"Burton, Tim (I)",3
2,30033839,"August, John (I)",30243631,"Elfman, Danny",3
3,30033839,"August, John (I)",30284905,"Frey, Derek",2
4,30033839,"August, John (I)",30481927,"Lebenzon, Chris",3
5,30033839,"August, John (I)",30552567,"McDowell, Alex (I)",2
6,30083861,"Bonham Carter, Helena",30114716,"Burton, Tim (I)",4
7,30083861,"Bonham Carter, Helena",30243631,"Elfman, Danny",4
8,30083861,"Bonham Carter, Helena",30284905,"Frey, Derek",2
9,30083861,"Bonham Carter, Helena",30481927,"Lebenzon, Chris",4
10,30083861,"Bonham Carter, Helena",30552567,"McDowell, Alex (I)",2
11,30114716,"Burton, Tim (I)",30243631,"Elfman, Danny",12
12,30114716,"Burton, Tim (I)",30284905,"Frey, Derek",2
13,30114716,"Burton, Tim (I)",30459639,"Kozachik, Pete",2
14,30114716,"Burton, Tim (I)",30481927,"Lebenzon, Chris",8
15,30114716,"Burton, Tim (I)",30511906,"Lumley, Joanna",2
16,30114716,"Burton, Tim (I)",30552567,"McDowell, Alex (I)",2
17,30114716,"Burton, Tim (I)",30840372,"Thompson, Caroline (I)",3
18,30243631,"Elfman, Danny",30284905,"Frey, Derek",2
19,30243631,"Elfman, Danny",30481927,"Lebenzon, Chris",7
20,30243631,"Elfman, Danny",30552567,"McDowell, Alex (I)",2
21,30243631,"Elfman, Danny",30840372,"Thompson, Caroline (I)",3
22,30284905,"Frey, Derek",30481927,"Lebenzon, Chris",2
23,30284905,"Frey, Derek",30552567,"McDowell, Alex (I)",2
24,30459639,"Kozachik, Pete",30511906,"Lumley, Joanna",2
25,30481927,"Lebenzon, Chris",30552567,"McDowell, Alex (I)",2
26,30088594,"Bow, Simmy",30114716,"Burton, Tim (I)",2
27,30088594,"Bow, Simmy",30243631,"Elfman, Danny",2
28,30088594,"Bow, Simmy",30266601,"Filpi, Carmen",2
29,30114716,"Burton, Tim (I)",30193322,Darla (II),2
31,30114716,"Burton, Tim (I)",30266601,"Filpi, Carmen",3
32,30114716,"Burton, Tim (I)",30383381,"Hooks, Jan",2
33,30114716,"Burton, Tim (I)",30700467,"Reubens, Paul",2
34,30114716,"Burton, Tim (I)",30738831,"Salinger, Diane",2
35,30193322,Darla (II),30243631,"Elfman, Danny",2
36,30193322,Darla (II),30383381,"Hooks, Jan",2
37,30193322,Darla (II),30700467,"Reubens, Paul",2
38,30193322,Darla (II),30738831,"Salinger, Diane",2
39,30243631,"Elfman, Danny",30266601,"Filpi, Carmen",2
40,30243631,"Elfman, Danny",30383381,"Hooks, Jan",2
41,30243631,"Elfman, Danny",30700467,"Reubens, Paul",2
42,30243631,"Elfman, Danny",30738831,"Salinger, Diane",2
43,30383381,"Hooks, Jan",30700467,"Reubens, Paul",2
44,30383381,"Hooks, Jan",30738831,"Salinger, Diane",2
45,30700467,"Reubens, Paul",30738831,"Salinger, Diane",2
51,30114716,"Burton, Tim (I)",30356721,"Hashimoto, Richard",3
52,30114716,"Burton, Tim (I)",30420536,"Jones, Jeffrey (I)",3
53,30114716,"Burton, Tim (I)",30435271,"Keaton, Michael",3
54,30114716,"Burton, Tim (I)",30552643,"McDowell, Michael (I)",2
55,30114716,"Burton, Tim (I)",30627117,"O'Hara, Catherine (I)",2
56,30114716,"Burton, Tim (I)",30734668,"Ryder, Winona",2
57,30114716,"Burton, Tim (I)",30764994,"Shadix, Glenn",2
58,30114716,"Burton, Tim (I)",30775989,"Sidney, Sylvia (I)",2
59,30114716,"Burton, Tim (I)",30783008,"Skaaren, Warren",2
60,30114716,"Burton, Tim (I)",30895051,"Welch, Bo",3
62,30243631,"Elfman, Danny",30356721,"Hashimoto, Richard",2
63,30243631,"Elfman, Danny",30420536,"Jones, Jeffrey (I)",2
64,30243631,"Elfman, Danny",30435271,"Keaton, Michael",3
65,30243631,"Elfman, Danny",30552643,"McDowell, Michael (I)",2
66,30243631,"Elfman, Danny",30627117,"O'Hara, Catherine (I)",2
67,30243631,"Elfman, Danny",30734668,"Ryder, Winona",2
68,30243631,"Elfman, Danny",30764994,"Shadix, Glenn",2
69,30243631,"Elfman, Danny",30775989,"Sidney, Sylvia (I)",2
70,30243631,"Elfman, Danny",30783008,"Skaaren, Warren",2
71,30243631,"Elfman, Danny",30895051,"Welch, Bo",3
72,30266601,"Filpi, Carmen",30420536,"Jones, Jeffrey (I)",2
73,30356721,"Hashimoto, Richard",30734668,"Ryder, Winona",2
74,30356721,"Hashimoto, Richard",30895051,"Welch, Bo",2
75,30435271,"Keaton, Michael",30783008,"Skaaren, Warren",2
76,30435271,"Keaton, Michael",30895051,"Welch, Bo",2
77,30552643,"McDowell, Michael (I)",30627117,"O'Hara, Catherine (I)",2
78,30734668,"Ryder, Winona",30895051,"Welch, Bo",2
81,30083861,"Bonham Carter, Helena",30282593,"Frauenfelder, Katterli",3
83,30083861,"Bonham Carter, Helena",30727445,"Rousselot, Philippe",3
84,30083861,"Bonham Carter, Helena",30728300,"Roy, Deep",3
85,30083861,"Bonham Carter, Helena",30932653,"Zanuck, Richard D.",3
87,30114716,"Burton, Tim (I)",30282593,"Frauenfelder, Katterli",3
88,30114716,"Burton, Tim (I)",30304562,"Giamatti, Paul",2
89,30114716,"Burton, Tim (I)",30329866,"Grevioux, Kevin",2
90,30114716,"Burton, Tim (I)",30363542,"Heinrichs, Rick",2
92,30114716,"Burton, Tim (I)",30530473,"Marie, Lisa (I)",4
93,30114716,"Burton, Tim (I)",30727445,"Rousselot, Philippe",3
94,30114716,"Burton, Tim (I)",30728300,"Roy, Deep",3
96,30114716,"Burton, Tim (I)",30828925,"Tan, Philip",2
97,30114716,"Burton, Tim (I)",30932653,"Zanuck, Richard D.",3
98,30243631,"Elfman, Danny",30282593,"Frauenfelder, Katterli",3
99,30243631,"Elfman, Danny",30363542,"Heinrichs, Rick",2
101,30243631,"Elfman, Danny",30530473,"Marie, Lisa (I)",3
102,30243631,"Elfman, Danny",30727445,"Rousselot, Philippe",3
