,Movie,MovieCode,Year,Code 1,Crew 1_name,Code2,Crew 2_name,Tie strength
0,Corpse Bride_2005,21000268,2005,30033839,"August, John (I)",30083861,"Bonham Carter, Helena",3
1,Corpse Bride_2005,21000268,2005,30033839,"August, John (I)",30114716,"Burton, Tim (I)",3
2,Corpse Bride_2005,21000268,2005,30033839,"August, John (I)",30243631,"Elfman, Danny",3
3,Corpse Bride_2005,21000268,2005,30033839,"August, John (I)",30284905,"Frey, Derek",2
4,Corpse Bride_2005,21000268,2005,30033839,"August, John (I)",30481927,"Lebenzon, Chris",3
5,Corpse Bride_2005,21000268,2005,30033839,"August, John (I)",30552567,"McDowell, Alex (I)",2
6,Corpse Bride_2005,21000268,2005,30083861,"Bonham Carter, Helena",30114716,"Burton, Tim (I)",4
7,Corpse Bride_2005,21000268,2005,30083861,"Bonham Carter, Helena",30243631,"Elfman, Danny",4
8,Corpse Bride_2005,21000268,2005,30083861,"Bonham Carter, Helena",30284905,"Frey, Derek",2
9,Corpse Bride_2005,21000268,2005,30083861,"Bonham Carter, Helena",30481927,"Lebenzon, Chris",4
10,Corpse Bride_2005,21000268,2005,30083861,"Bonham Carter, Helena",30552567,"McDowell, Alex (I)",2
11,Corpse Bride_2005,21000268,2005,30114716,"Burton, Tim (I)",30243631,"Elfman, Danny",12
12,Corpse Bride_2005,21000268,2005,30114716,"Burton, Tim (I)",30284905,"Frey, Derek",2
13,Corpse Bride_2005,21000268,2005,30114716,"Burton, Tim (I)",30459639,"Kozachik, Pete",2
14,Corpse Bride_2005,21000268,2005,30114716,"Burton, Tim (I)",30481927,"Lebenzon, Chris",8
15,Corpse Bride_2005,21000268,2005,30114716,"Burton, Tim (I)",30511906,"Lumley, Joanna",2
16,Corpse Bride_2005,21000268,2005,30114716,"Burton, Tim (I)",30552567,"McDowell, Alex (I)",2
17,Corpse Bride_2005,21000268,2005,30114716,"Burton, Tim (I)",30840372,"Thompson, Caroline (I)",3
18,Corpse Bride_2005,21000268,2005,30243631,"Elfman, Danny",30284905,"Frey, Derek",2
19,Corpse Bride_2005,21000268,2005,30243631,"Elfman, Danny",30481927,"Lebenzon, Chris",7
20,Corpse Bride_2005,21000268,2005,30243631,"Elfman, Danny",30552567,"McDowell, Alex (I)",2
21,Corpse Bride_2005,21000268,2005,30243631,"Elfman, Danny",30840372,"Thompson, Caroline (I)",3
22,Corpse Bride_2005,21000268,2005,30284905,"Frey, Derek",30481927,"Lebenzon, Chris",2
23,Corpse Bride_2005,21000268,2005,30284905,"Frey, Derek",30552567,"McDowell, Alex (I)",2
24,Corpse Bride_2005,21000268,2005,30459639,"Kozachik, Pete",30511906,"Lumley, Joanna",2
25,Corpse Bride_2005,21000268,2005,30481927,"Lebenzon, Chris",30552567,"McDowell, Alex (I)",2
26,Pee-wee's Big Adventure_1985,21001006,1985,30088594,"Bow, Simmy",30114716,"Burton, Tim (I)",2
27,Pee-wee's Big Adventure_1985,21001006,1985,30088594,"Bow, Simmy",30243631,"Elfman, Danny",2
28,Pee-wee's Big Adventure_1985,21001006,1985,30088594,"Bow, Simmy",30266601,"Filpi, Carmen",2
29,Pee-wee's Big Adventure_1985,21001006,1985,30114716,"Burton, Tim (I)",30193322,Darla (II),2
30,Pee-wee's Big Adventure_1985,21001006,1985,30114716,"Burton, Tim (I)",30243631,"Elfman, Danny",12
31,Pee-wee's Big Adventure_1985,21001006,1985,30114716,"Burton, Tim (I)",30266601,"Filpi, Carmen",3
